Title,Category,Date,Link,Material,Source
Alex Warren pens heartfelt message to celebrate iHeartRadio Music Awards success,News,"By 
                                    Sidra Khan",https://jang.com.pk/en/62507-alex-warren-pens-heartfelt-message-to-celebrate-iheartradio-music-awards-success-news,Zendaya’s ‘The Drama’ director draws criticism over resurfaced essay,Jang English
Israel identifies missile from Yemen as Rubio claims war to be over in 'weeks',News,"By 
                                    Hania Jamil",https://jang.com.pk/en/62506-israel-identifies-missile-from-yemen-as-rubio-claims-war-to-be-over-in-weeks-news,Bank of America to pay $72.5 million to Epstein victims to settle lawsuit,Jang English
Zendaya’s ‘The Drama’ director draws criticism over resurfaced essay,News,"By 
                                    Javeria Ahmed",https://jang.com.pk/en/62505-zendayas-the-drama-director-draws-criticism-over-resurfaced-essay-news,Lana Del Rey marks Jeremy Dufrene’s 51st birthday with sweet personal life glimpses,Jang English
Mercedes Kimi Antonelli leads final practice ahead of Japanese Grand Prix,News,"By 
                                    Hania Jamil",https://jang.com.pk/en/62504-mercedes-kimi-antonelli-leads-final-practice-ahead-of-japanese-grand-prix-news,Tiger Woods charged with DUI after shock car crash in Florida,Jang English
Lana Del Rey marks Jeremy Dufrene’s 51st birthday with sweet personal life glimpses,News,"By 
                                    Javeria Ahmed",https://jang.com.pk/en/62503-lana-del-rey-marks-jeremy-dufrenes-51st-birthday-with-sweet-personal-life-glimpses-news,‎Britney Spears returns to social media with shocking privacy twist after DUI drama,Jang English
Bank of America to pay $72.5 million to Epstein victims to settle lawsuit,News,"By 
                                    Hania Jamil",https://jang.com.pk/en/62502-bank-of-america-to-pay-725-million-to-epstein-victims-to-settle-lawsuit-news,Israel identifies missile from Yemen as Rubio claims war to be over in 'weeks',Jang English
‎Britney Spears returns to social media with shocking privacy twist after DUI drama,News,"By 
                                    Sidra Khan",https://jang.com.pk/en/62501-britney-spears-returns-to-social-media-with-shocking-privacy-twist-after-dui-drama-news,Zendaya’s ‘The Drama’ director draws criticism over resurfaced essay,Jang English
Hamza Ali Abbasi breaks silence on sister Dr Fazeela’s money laundering case,News,"By 
                                    Javeria Ahmed",https://jang.com.pk/en/62500-hamza-ali-abbasi-breaks-silence-on-sister-dr-fazeelas-money-laundering-case-news,Badshah breaks social media silence amid marriage rumours,Jang English
12 US troops injured in Iran strike on military base in Saudi Arabia after Israel attack,News,"By 
                                    Hania Jamil",https://jang.com.pk/en/62499-12-us-troops-injured-in-iran-strike-on-military-base-in-saudi-arabia-after-israel-attack-news,Bank of America to pay $72.5 million to Epstein victims to settle lawsuit,Jang English
Katy Perry’s romance with Justin Trudeau heats up with intimate outing snap,News,"By 
                                    Javeria Ahmed",https://jang.com.pk/en/62498-katy-perrys-romance-with-justin-trudeau-heats-up-with-intimate-outing-snap-news,Alex Warren pens heartfelt message to celebrate iHeartRadio Music Awards success,Jang English
Tiger Woods charged with DUI after shock car crash in Florida,News,"By 
                                    Hania Jamil",https://jang.com.pk/en/62497-tiger-woods-charged-with-dui-after-shock-car-crash-in-florida-news,Mercedes Kimi Antonelli leads final practice ahead of Japanese Grand Prix,Jang English
"James Tolkan, 'Top Gun' and 'Back to the Future' star, passes away at 94",News,"By 
                                    Sidra Khan",https://jang.com.pk/en/62496-james-tolkan-top-gun-and-back-to-the-future-star-passes-away-at-94-news,Zendaya’s ‘The Drama’ director draws criticism over resurfaced essay,Jang English
Who will play Voldemort in ‘Harry Potter’ series? HBO shares major update,News,"By 
                                    Riba Shaikh",https://jang.com.pk/en/62494-who-will-play-voldemort-in-harry-potter-series-hbo-shares-major-update-news,Zendaya’s ‘The Drama’ director draws criticism over resurfaced essay,Jang English
Beckham caught in unexpected state amidst rift with son Brooklyn,News,"By 
                                    Salima Bhutto",https://jang.com.pk/en/62493-beckham-caught-in-unexpected-state-amidst-rift-with-son-brooklyn-news,Lana Del Rey marks Jeremy Dufrene’s 51st birthday with sweet personal life glimpses,Jang English
"Andrew Garfield shares newfound appreciation for 'Harry Potter', takes dig at JK Rowling",News,"By 
                                    Hania Jamil",https://jang.com.pk/en/62492-andrew-garfield-shares-newfound-appreciation-for-harry-potter-takes-dig-at-jk-rowling-news,Alex Warren pens heartfelt message to celebrate iHeartRadio Music Awards success,Jang English
